Name,Email,Financial Status,Created at,Paid at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem sku,Lineitem discount,Lineitem fulfillment status,Subtotal,Shipping,Taxes,Total,Discount Amount,Refunded Amount
#1000,acharlton@example.com,paid,2025-07-08 15:00:00 +0000,2025-07-08 15:00:00 +0000,2,Womens Performa Jane Evo - Beige,150.0,V-SS26P-26W2102PNAN-BEG,0,fulfilled,300.0,10.0,60.0,370.0,0.0,0.0
#1000,,,2025-07-08 15:00:00 +0000,2025-07-08 15:00:00 +0000,2,Oversized Longsleeve Hoodie - Grey,365.0,RU02E1623-FW25P-50-BOSCO,0,fulfilled,,,,,,
#1001,naomi27@example.org,paid,2025-06-27 18:00:00 +0000,2025-06-27 18:00:00 +0000,1,Womens Performa Jane Evo - Beige,150.0,V-SS26P-26W2102PNAN-BEG,0,fulfilled,100.0,10.0,20.0,130.0,50.0,0.0
#1001,,,2025-06-27 18:00:00 +0000,2025-06-27 18:00:00 +0000,2,Hollywood Banana Longsleeve Tee,235.0,RU02E1262-FW25P-50-WASHE,0,fulfilled,,,,,,
#1002,ojackson@example.net,paid,2025-03-22 11:00:00 +0000,2025-03-22 11:00:00 +0000,1,Marmalade Candle - 175g,60.0,CANDLE-MARM-175,0,fulfilled,60.0,10.0,12.0,82.0,0.0,0.0
#1002,,,2025-03-22 11:00:00 +0000,2025-03-22 11:00:00 +0000,1,Oversized Longsleeve Hoodie - Grey,365.0,RU02E1623-FW25P-50-BOSCO,0,fulfilled,,,,,,
#1003,millerleigh@example.org,paid,2025-03-24 19:00:00 +0000,2025-03-24 19:00:00 +0000,2,Womens Performa Jane Evo - Beige,150.0,V-SS26P-26W2102PNAN-BEG,0,fulfilled,250.0,10.0,50.0,310.0,50.0,0.0
#1004,andersonsuzanne@example.org,paid,2025-03-28 22:00:00 +0000,2025-03-28 22:00:00 +0000,1,Marmalade Candle - 175g,60.0,CANDLE-MARM-175,0,fulfilled,60.0,10.0,12.0,82.0,0.0,0.0
#1004,,,2025-03-28 22:00:00 +0000,2025-03-28 22:00:00 +0000,1,Mens Jaya Evo Mules - Black,155.0,25M1501P-FW25P-43-BLACK,0,fulfilled,,,,,,
#1004,,,2025-03-28 22:00:00 +0000,2025-03-28 22:00:00 +0000,1,Sport Uniform Skirt - Black,250.0,SPORT-SKIRT-BLK-M,0,fulfilled,,,,,,
