Name,Email,Paid at,Financial Status,Lineitem sku,Lineitem quantity,Subtotal,Taxes,Total,Lineitem Additional Sample Sale Execution Costs
SS-2000,gary98@example.com,2025-04-12 00:00:00 +0000,paid,25M1501P-FW25P-43-BLACK,1,46.5,9.3,55.8,2.33
SS-2001,woodbeverley@example.com,2025-04-13 00:00:00 +0000,paid,RU02E1262-FW25P-50-WASHE,1,70.5,14.1,84.6,3.53
SS-2002,zthompson@example.com,2025-04-14 00:00:00 +0000,paid,SPORT-SKIRT-BLK-M,1,75.0,15.0,90.0,3.75
SS-2003,elliot34@example.net,2025-04-14 00:00:00 +0000,paid,SPORT-SKIRT-BLK-M,1,75.0,15.0,90.0,3.75
SS-2004,vshepherd@example.com,2025-04-15 00:00:00 +0000,paid,CANDLE-MARM-175,1,18.0,3.6,21.6,0.9
SS-2005,carolyn85@example.net,2025-04-14 00:00:00 +0000,paid,V-SS26P-26W2102PNAN-BEG,1,45.0,9.0,54.0,2.25
SS-2006,scott22@example.org,2025-04-11 00:00:00 +0000,paid,SPORT-SKIRT-BLK-M,1,75.0,15.0,90.0,3.75
SS-2007,mohammed68@example.com,2025-04-11 00:00:00 +0000,paid,RU02E1262-FW25P-50-WASHE,1,70.5,14.1,84.6,3.53
SS-2008,vdavey@example.com,2025-04-12 00:00:00 +0000,paid,CANDLE-MARM-175,1,18.0,3.6,21.6,0.9
SS-2009,nbarber@example.org,2025-04-16 00:00:00 +0000,paid,SPORT-SKIRT-BLK-M,1,75.0,15.0,90.0,3.75
SS-2010,thomas65@example.org,2025-04-12 00:00:00 +0000,paid,V-SS26P-26W2102PNAN-BEG,1,45.0,9.0,54.0,2.25
SS-2011,naomiowen@example.net,2025-04-14 00:00:00 +0000,paid,RU02E1262-FW25P-50-WASHE,1,70.5,14.1,84.6,3.53
SS-2012,jadebell@example.org,2025-04-13 00:00:00 +0000,paid,CANDLE-MARM-175,1,18.0,3.6,21.6,0.9
SS-2013,taylorabbie@example.com,2025-04-16 00:00:00 +0000,paid,RU02E1262-FW25P-50-WASHE,1,70.5,14.1,84.6,3.53
SS-2014,harrisonellie@example.org,2025-04-15 00:00:00 +0000,paid,RU02E1623-FW25P-50-BOSCO,1,109.5,21.9,131.4,5.48
SS-2015,sarah43@example.org,2025-04-16 00:00:00 +0000,paid,RU02E1262-FW25P-50-WASHE,1,70.5,14.1,84.6,3.53
SS-2016,beth34@example.com,2025-04-11 00:00:00 +0000,paid,CANDLE-MARM-175,1,18.0,3.6,21.6,0.9
SS-2017,robert28@example.org,2025-04-14 00:00:00 +0000,paid,RU02E1262-FW25P-50-WASHE,1,70.5,14.1,84.6,3.53
SS-2018,mortondamian@example.net,2025-04-12 00:00:00 +0000,paid,RU02E1623-FW25P-50-BOSCO,1,109.5,21.9,131.4,5.48
SS-2019,edward96@example.net,2025-04-12 00:00:00 +0000,paid,RU02E1262-FW25P-50-WASHE,1,70.5,14.1,84.6,3.53
SS-2020,whitedylan@example.org,2025-04-15 00:00:00 +0000,paid,25M1501P-FW25P-43-BLACK,1,46.5,9.3,55.8,2.33
SS-2021,turneramelia@example.net,2025-04-14 00:00:00 +0000,paid,RU02E1262-FW25P-50-WASHE,1,70.5,14.1,84.6,3.53
SS-2022,richardsonwendy@example.com,2025-04-16 00:00:00 +0000,paid,RU02E1262-FW25P-50-WASHE,1,70.5,14.1,84.6,3.53
SS-2023,rosemary96@example.com,2025-04-14 00:00:00 +0000,paid,V-SS26P-26W2102PNAN-BEG,1,45.0,9.0,54.0,2.25
SS-2024,seangreen@example.org,2025-04-11 00:00:00 +0000,paid,RU02E1623-FW25P-50-BOSCO,1,109.5,21.9,131.4,5.48
SS-2025,kirsty06@example.net,2025-04-16 00:00:00 +0000,paid,RU02E1262-FW25P-50-WASHE,1,70.5,14.1,84.6,3.53
SS-2026,robertsolivia@example.com,2025-04-13 00:00:00 +0000,paid,RU02E1623-FW25P-50-BOSCO,1,109.5,21.9,131.4,5.48
SS-2027,shaun44@example.com,2025-04-11 00:00:00 +0000,paid,V-SS26P-26W2102PNAN-BEG,1,45.0,9.0,54.0,2.25
